City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
129,jackson,90,US,1554390991,76,35.61,-88.82,59,5.82
130,mahebourg,75,MU,1554390842,83,-20.41,57.7,80.6,10.29
131,butaritari,92,KI,1554391215,100,3.07,172.79,79.09,10.78
132,port elizabeth,1,US,1554391216,26,39.31,-74.98,60.8,4.74
133,takoradi,36,GH,1554391216,96,4.89,-1.75,84.31,15.48
134,hithadhoo,48,MV,1554391036,100,-0.6,73.08,83.95,0.04
135,hofn,20,IS,1554390000,70,64.25,-15.21,42.8,6.93
136,sherbrooke,75,CA,1554390991,46,45.4,-71.89,28.4,20.8
137,raudeberg,0,NO,1554391204,44,61.99,5.14,59,5.82
138,pevek,8,RU,1554391217,64,69.7,170.27,11.23,5.97
139,carnarvon,44,ZA,1554391218,14,-30.97,22.13,75.13,12.24
140,nelson bay,75,AU,1554390932,93,-32.72,152.14,66.99,3.36
141,evensk,80,RU,1554391219,83,61.92,159.24,29.86,16.71
142,puerto escondido,5,MX,1554388860,58,15.86,-97.07,82.4,5.53
143,san patricio,80,PY,1554391219,86,-26.98,-56.83,79.63,7.2
144,nzega,0,TZ,1554391220,69,-4.22,33.19,80.26,5.3
145,haines junction,80,CA,1554391220,90,60.75,-137.51,16,2.62
146,georgetown,40,GY,1554386400,74,6.8,-58.16,84.2,11.41
147,grindavik,75,IS,1554390000,86,63.84,-22.43,39.2,5.82
148,nenagh,75,IE,1554391202,73,52.86,-8.2,44.01,11.41
149,thinadhoo,8,MV,1554391151,100,0.53,72.93,84.13,2.62
150,matay,0,EG,1554391223,26,28.42,30.79,80.35,8.43
151,reforma,90,MX,1554391216,30,24.02,-104.65,59,10.29
152,kaitangata,88,NZ,1554391191,70,-46.28,169.85,46.99,4
153,poya,92,NC,1554391225,100,-21.35,165.16,75.94,15.93
154,cidreira,12,BR,1554391147,76,-30.17,-50.22,85.93,7.43
155,cherskiy,0,RU,1554391226,45,68.75,161.3,7.63,1.95
156,nalut,80,LY,1554391226,36,31.86,10.98,76.75,17.6
157,cherlak,92,RU,1554391226,94,54.15,74.8,39.76,11.68
158,yarega,0,RU,1554391227,66,63.43,53.58,37.96,6.87
159,lovrenc na pohorju,75,SI,1554391164,42,46.54,15.39,64.4,14.99
160,dakar,0,SN,1554388200,53,14.69,-17.45,77,20.8
161,olavarria,44,AR,1554390910,97,-36.89,-60.32,59,16.82
162,kavieng,76,PG,1554391228,100,-2.57,150.8,83.41,9.22
163,pombos,40,BR,1554386400,66,-8.14,-35.4,86,8.05
164,hasaki,20,JP,1554390277,66,35.73,140.83,48.2,6.93
165,pangnirtung,5,CA,1554386400,70,66.15,-65.72,-0.41,3.36
166,ust-tarka,92,RU,1554391229,91,55.56,75.71,32.29,14.03
167,laguna,75,MX,1554389100,34,27.52,-110.01,66.2,2.28
168,mutis,88,CO,1554391230,93,6.23,-77.4,77.2,2.95
169,pudozh,0,RU,1554391230,85,61.81,36.54,38.77,9.44
170,nanakuli,1,US,1554390970,87,21.39,-158.15,73.4,3.36
171,grand gaube,75,MU,1554391143,83,-20.01,57.66,80.6,10.29
172,cap malheureux,75,MU,1554391143,83,-19.98,57.61,80.6,10.29
173,sitka,0,US,1554390989,94,37.17,-99.65,48.99,14
174,palaikastron,8,GR,1554391085,66,35.2,26.25,64,5.01
175,saint george,20,GR,1554390808,55,39.45,22.34,60.8,12.75
176,smirnykh,88,RU,1554391232,84,49.74,142.83,26.98,11.45
177,harbour breton,88,CA,1554390960,100,47.48,-55.8,39.99,3
178,isangel,64,VU,1554391233,100,-19.55,169.27,80.26,12.68
179,port hedland,0,AU,1554388200,94,-20.31,118.58,77,3.74
180,saravan,75,AM,1554388200,58,39.72,45.65,60.8,16.11
181,ranong,12,TH,1554391234,100,9.96,98.62,83.32,2.06
182,cabo san lucas,5,MX,1554390932,64,22.89,-109.91,72,2.24
183,xingyi,0,CN,1554391234,50,24.19,102.82,57.67,5.41
184,sangar,32,RU,1554391235,76,63.92,127.47,18.7,3.18
185,akdagmadeni,8,TR,1554391235,63,39.66,35.88,46.51,2.51
186,calama,20,CL,1554390968,58,-22.46,-68.93,64,4.7
187,kaina,0,NG,1554386400,11,12.64,8.59,105.8,14.99
188,hualmay,76,PE,1554391237,86,-11.1,-77.61,69.82,3.29
189,miramar,75,CR,1554390932,57,10.09,-84.73,77,19.46
190,sao joao da barra,40,BR,1554386400,62,-21.64,-41.05,86,13.47
191,floro,0,NO,1554389400,44,61.6,5.03,59,5.82
192,mount isa,0,AU,1554388200,44,-20.73,139.49,78.8,11.41
193,mumford,76,GH,1554391262,68,5.26,-0.76,87.73,10.89
194,oussouye,0,SN,1554386400,38,12.49,-16.54,91.4,4.7
195,erdenet,88,MN,1554391263,94,49.03,104.04,37.69,2.95
196,batagay-alyta,44,RU,1554391264,78,67.8,130.41,10.78,2.17
197,kysyl-syr,48,RU,1554391264,84,63.9,122.77,21.76,2.62
198,bhongaon,8,IN,1554391264,37,27.26,79.18,83.59,4.29
199,acajutla,0,SV,1554391234,71,13.59,-89.83,80.01,1.99
200,warri,44,NG,1554391265,87,5.52,5.75,86.02,7.43
201,tigre,0,AR,1554391200,65,-34.42,-58.58,82.4,12.75
202,ileza,0,RU,1554391266,85,61.05,43.9,37.33,5.97
203,constitucion,90,MX,1554391216,30,23.99,-104.67,59,10.29
204,sault sainte marie,1,CA,1554390000,56,46.49,-84.36,32,6.93
205,shubarshi,76,KZ,1554391266,79,48.59,57.19,45.52,14.03
206,xixiang,20,CN,1554391149,73,22.58,113.87,75.99,11.41
207,hami,12,CN,1554391267,39,42.84,93.51,57.49,4.52
208,provideniya,0,RU,1554391268,100,64.42,-173.23,17.17,15.03
209,kuusamo,90,FI,1554389400,91,65.96,29.19,32,1.12
210,oranjemund,0,ZA,1554391268,93,-28.55,16.43,61,6.2
211,shenjiamen,100,CN,1554391268,100,29.96,122.3,53.53,8.99
212,sao filipe,0,CV,1554391269,90,14.9,-24.5,71.8,18.28
213,sao caetano de odivelas,92,BR,1554391269,100,-0.75,-48.02,76.66,14.25
